"MYE2: Males by single year of age and sex for local authorities in England and Wales, mid-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K04000001,ENGLAND AND WALES,Country,29835992.00,308256.00,328403.00,326744.00,337911.00,344596.00,348742.00,356646.00,367110.00,363672.00,365577.00,375231.00,384524.00,385712.00,380005.00,377442.00,381017.00,368491.00,363568.00,365574.00,369718.00,368028.00,365925.00,365718.00,375371.00,388324.00,389661.00,396469.00,389367.00,392092.00,399857.00,399177.00,410472.00,415092.00,412689.00,409268.00,412465.00,402496.00,401544.00,399998.00,387293.00,387245.00,386672.00,389355.00,392378.00,376780.00,351252.00,345606.00,352748.00,360210.00,364193.00,378328.00,392490.00,405017.00,394613.00,403444.00,401604.00,404751.00,400740.00,401516.00,395372.00,385524.00,376008.00,362163.00,346261.00,335539.00,324865.00,308826.00,295558.00,280989.00,278862.00,272361.00,260228.00,259422.00,259212.00,262672.00,272916.00,291313.00,216617.00,204713.00,197979.00,175624.00,150137.00,127094.00,125305.00,117087.00,105973.00,92484.00,79518.00,67622.00,55050.00,183511.00
E92000001,ENGLAND,Country,28283074.00,293933.00,312995.00,311501.00,322067.00,328129.00,331735.00,339328.00,348942.00,345591.00,347329.00,356650.00,365469.00,366063.00,360895.00,358117.00,361691.00,349931.00,345236.00,346661.00,349313.00,347749.00,345536.00,345643.00,355934.00,368759.00,370911.00,376733.00,370426.00,373327.00,380776.00,380078.00,390686.00,395074.00,392740.00,389629.00,392507.00,383002.00,382093.00,380825.00,368755.00,368886.00,368552.00,371001.00,373542.00,358913.00,335009.00,329186.00,336077.00,342724.00,346555.00,359694.00,372431.00,383893.00,374199.00,382036.00,380548.00,383158.00,379113.00,379303.00,373318.00,363989.00,354500.00,341604.00,326378.00,315915.00,305908.00,290478.00,278154.00,264200.00,261871.00,255543.00,244170.00,243498.00,242922.00,246267.00,255937.00,273876.00,203760.00,192397.00,186010.00,165062.00,140882.00,119224.00,117844.00,110353.00,99978.00,87281.00,74936.00,63762.00,52022.00,173456.00
E12000001,NORTH EAST,Region,1329511.00,12727.00,13490.00,13585.00,13752.00,14477.00,14812.00,15132.00,15733.00,15546.00,15985.00,16426.00,16495.00,16786.00,16329.00,16020.00,16327.00,15698.00,15646.00,15760.00,17630.00,18850.00,18001.00,17034.00,16364.00,16285.00,16337.00,16655.00,16330.00,16509.00,16477.00,16932.00,17464.00,17453.00,17116.00,16851.00,17370.00,17086.00,17366.00,16888.00,16357.00,16245.00,16015.00,16097.00,16371.00,15977.00,14236.00,13595.00,14385.00,14989.00,14824.00,15961.00,17157.00,18142.00,17198.00,17676.00,17976.00,18456.00,18654.00,19143.00,18733.00,18666.00,18663.00,17721.00,17157.00,17127.00,16839.00,16142.00,15508.00,14735.00,14569.00,14199.00,13402.00,13208.00,13072.00,13260.00,13549.00,14526.00,10423.00,9750.00,9181.00,7642.00,6883.00,6010.00,5788.00,5450.00,4860.00,4321.00,3536.00,3064.00,2515.00,7834.00
E06000047,County Durham,Unitary Authority,259564.00,2277.00,2459.00,2572.00,2572.00,2674.00,2643.00,2695.00,2875.00,2840.00,3035.00,3133.00,3154.00,3185.00,3111.00,2995.00,3067.00,3124.00,2931.00,3073.00,4088.00,4831.00,4271.00,3521.00,2994.00,2909.00,2764.00,2871.00,2868.00,2730.00,2736.00,2893.00,3029.00,3085.00,2959.00,2912.00,3071.00,3049.00,3106.00,3001.00,3005.00,3074.00,2991.00,3040.00,2994.00,3044.00,2740.00,2559.00,2816.00,2894.00,2927.00,3295.00,3418.00,3701.00,3463.00,3700.00,3757.00,3941.00,3928.00,4043.00,3876.00,3909.00,3919.00,3592.00,3419.00,3462.00,3371.00,3305.00,3118.00,3108.00,2964.00,2952.00,2786.00,2815.00,2704.00,2771.00,2736.00,3077.00,2231.00,2076.00,2038.00,1634.00,1463.00,1292.00,1242.00,1118.00,993.00,884.00,710.00,577.00,498.00,1491.00
E06000005,Darlington,Unitary Authority,54068.00,510.00,586.00,529.00,552.00,605.00,619.00,581.00,645.00,667.00,673.00,705.00,666.00,688.00,704.00,730.00,688.00,639.00,652.00,666.00,492.00,483.00,480.00,527.00,581.00,592.00,639.00,644.00,616.00,632.00,669.00,678.00,685.00,749.00,678.00,638.00,733.00,692.00,723.00,668.00,677.00,651.00,662.00,675.00,704.00,737.00,664.00,634.00,624.00,681.00,649.00,681.00,731.00,757.00,800.00,766.00,768.00,770.00,778.00,823.00,724.00,802.00,778.00,751.00,679.00,707.00,657.00,622.00,627.00,602.00,585.00,578.00,539.00,514.00,506.00,584.00,564.00,566.00,423.00,442.00,367.00,333.00,293.00,252.00,264.00,233.00,200.00,187.00,151.00,135.00,115.00,352.00
E06000001,Hartlepool,Unitary Authority,46433.00,492.00,508.00,511.00,545.00,547.00,572.00,586.00,610.00,544.00,607.00,614.00,615.00,643.00,636.00,654.00,657.00,596.00,596.00,561.00,532.00,452.00,445.00,532.00,551.00,558.00,537.00,600.00,519.00,595.00,543.00,558.00,585.00,607.00,547.00,575.00,565.00,560.00,556.00,589.00,525.00,512.00,537.00,536.00,569.00,522.00,442.00,459.00,520.00,503.00,500.00,590.00,615.00,630.00,614.00,612.00,641.00,680.00,665.00,752.00,665.00,701.00,662.00,700.00,674.00,650.00,578.00,626.00,548.00,512.00,494.00,483.00,496.00,472.00,478.00,439.00,453.00,519.00,353.00,300.00,273.00,206.00,198.00,198.00,183.00,178.00,160.00,153.00,105.00,112.00,81.00,259.00
E06000002,Middlesbrough,Unitary Authority,76395.00,930.00,906.00,885.00,915.00,998.00,993.00,1065.00,997.00,1063.00,1032.00,1091.00,1040.00,1066.00,1028.00,942.00,970.00,958.00,938.00,935.00,983.00,949.00,980.00,1103.00,1128.00,1239.00,1478.00,1440.00,1400.00,1307.00,1267.00,1293.00,1363.00,1197.00,1273.00,1213.00,1191.00,1166.00,1139.00,983.00,1000.00,979.00,924.00,922.00,882.00,825.00,749.00,705.00,750.00,794.00,737.00,815.00,772.00,808.00,791.00,759.00,850.00,856.00,911.00,946.00,867.00,889.00,970.00,842.00,849.00,793.00,819.00,779.00,726.00,705.00,646.00,690.00,598.00,582.00,570.00,549.00,572.00,639.00,412.00,412.00,368.00,319.00,324.00,257.00,227.00,223.00,201.00,168.00,170.00,124.00,109.00,377.00
E06000057,Northumberland,Unitary Authority,159613.00,1359.00,1378.00,1476.00,1414.00,1509.00,1636.00,1581.00,1744.00,1738.00,1817.00,1845.00,1865.00,1948.00,1824.00,1774.00,1883.00,1755.00,1787.00,1737.00,1422.00,1348.00,1330.00,1483.00,1467.00,1562.00,1616.00,1591.00,1595.00,1616.00,1602.00,1633.00,1733.00,1751.00,1702.00,1720.00,1838.00,1817.00,1745.00,1783.00,1733.00,1795.00,1699.00,1738.00,1836.00,1847.00,1622.00,1654.00,1711.00,1831.00,1918.00,1976.00,2144.00,2274.00,2133.00,2240.00,2376.00,2410.00,2417.00,2592.00,2639.00,2481.00,2597.00,2427.00,2489.00,2464.00,2398.00,2311.00,2334.00,2199.00,2283.00,2204.00,2060.00,2053.00,1985.00,2111.00,2207.00,2354.00,1624.00,1581.00,1530.00,1239.00,1087.00,938.00,866.00,819.00,715.00,646.00,541.00,490.00,387.00,1184.00
E06000003,Redcar and Cleveland,Unitary Authority,67012.00,613.00,686.00,642.00,672.00,683.00,700.00,782.00,754.00,793.00,819.00,893.00,918.00,869.00,827.00,785.00,866.00,847.00,851.00,786.00,726.00,614.00,619.00,603.00,714.00,805.00,735.00,672.00,750.00,711.00,774.00,733.00,779.00,787.00,730.00,764.00,784.00,762.00,695.00,800.00,724.00,713.00,725.00,746.00,721.00,684.00,649.00,632.00,713.00,735.00,745.00,795.00,899.00,957.00,904.00,970.00,928.00,1048.00,1090.00,995.00,1059.00,1044.00,1017.00,1011.00,951.00,941.00,967.00,853.00,908.00,801.00,822.00,757.00,761.00,756.00,737.00,784.00,796.00,843.00,651.00,621.00,579.00,466.00,442.00,398.00,367.00,375.00,305.00,269.00,218.00,184.00,149.00,464.00
E06000004,Stockton-on-Tees,Unitary Authority,99829.00,959.00,1071.00,992.00,1120.00,1149.00,1176.00,1226.00,1310.00,1249.00,1300.00,1415.00,1354.00,1476.00,1376.00,1349.00,1387.00,1266.00,1312.00,1245.00,1012.00,851.00,907.00,961.00,1120.00,1107.00,1154.00,1236.00,1086.00,1241.00,1282.00,1371.00,1345.00,1364.00,1314.00,1412.00,1396.00,1351.00,1499.00,1403.00,1373.00,1267.00,1285.00,1355.00,1322.00,1285.00,1146.00,1078.00,1100.00,1169.00,1172.00,1204.00,1367.00,1383.00,1317.00,1379.00,1414.00,1378.00,1401.00,1352.00,1273.00,1343.00,1322.00,1284.00,1216.00,1244.00,1145.00,1241.00,1146.00,1011.00,1035.00,1028.00,976.00,903.00,934.00,962.00,931.00,962.00,704.00,695.00,609.00,497.00,517.00,452.00,374.00,376.00,370.00,287.00,228.00,207.00,127.00,539.00
E11000007,Tyne and Wear (Met County),Metropolitan County,566597.00,5587.00,5896.00,5978.00,5962.00,6312.00,6473.00,6616.00,6798.00,6652.00,6702.00,6730.00,6883.00,6911.00,6823.00,6791.00,6809.00,6513.00,6579.00,6757.00,8375.00,9322.00,8969.00,8304.00,7809.00,7513.00,7414.00,7601.00,7496.00,7677.00,7604.00,7773.00,7945.00,7913.00,7913.00,7617.00,7792.00,7689.00,7903.00,7661.00,7320.00,7254.00,7192.00,7085.00,7343.00,7033.00,6224.00,5874.00,6151.00,6382.00,6176.00,6605.00,7211.00,7632.00,7176.00,7250.00,7242.00,7373.00,7464.00,7640.00,7630.00,7497.00,7398.00,7114.00,6880.00,6866.00,6904.00,6405.00,6101.00,5797.00,5740.00,5507.00,5186.00,5113.00,5158.00,5060.00,5290.00,5566.00,4025.00,3623.00,3417.00,2948.00,2559.00,2223.00,2265.00,2128.00,1916.00,1727.00,1413.00,1235.00,1049.00,3168.00
