"MYE2: Persons by single year of age and sex for local authorities in England and Wales, mid-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K04000001,ENGLAND AND WALES,Country," 60,854,727 ","600,801","641,879","638,385","661,083","672,685","681,900","697,641","717,150","710,833","714,772","732,612","751,923","752,347","742,256","736,698","743,900","716,641","705,108","707,670","716,527","711,854","713,853","715,140","738,033","768,416","778,100","795,056","782,863","795,733","816,611","818,170","843,787","853,772","852,228","847,155","856,627","837,184","830,098","826,094","799,549","799,458","795,121","801,792","804,769","770,485","716,103","702,628","716,717","731,450","739,902","768,197","797,244","826,458","804,402","822,081","818,332","822,945","818,740","819,904","807,652","787,224","767,486","737,013","705,294","684,873","663,659","634,051","607,219","580,893","579,378","566,107","545,374","544,313","547,740","555,344","580,460","620,020","465,366","442,487","430,180","387,059","335,360","288,359","287,413","271,872","250,133","222,324","195,657","170,123","142,674","551,758"
E92000001,ENGLAND,Country," 57,690,323 ","573,100","611,983","608,924","629,972","640,658","648,548","663,754","681,559","675,636","679,270","696,169","714,362","714,228","704,780","699,401","706,006","680,553","669,743","671,208","677,553","673,283","674,617","676,878","700,947","730,647","740,801","755,921","745,430","757,884","777,813","779,256","803,070","812,586","811,784","806,727","815,398","796,852","790,301","786,596","761,753","761,526","757,565","763,805","766,371","734,135","682,602","669,430","682,668","696,007","703,567","729,662","756,142","782,845","762,354","778,013","774,855","778,477","774,198","774,216","762,104","742,788","723,731","694,877","664,557","644,790","624,637","596,453","571,250","546,316","544,215","531,268","512,151","511,067","514,065","521,443","545,087","583,339","437,949","416,050","404,700","363,994","314,801","270,597","270,666","256,427","235,873","209,664","184,536","160,616","134,632","521,291"
E12000001,NORTH EAST,Region," 2,711,380 ","24,711","26,256","26,370","26,959","28,242","28,768","29,763","30,584","30,231","30,775","31,701","32,141","32,483","31,867","31,220","31,975","30,632","30,549","30,752","34,581","36,861","35,309","32,769","31,385","31,458","32,016","33,312","32,648","33,472","33,759","34,347","35,664","35,636","35,183","34,698","35,915","35,288","35,531","34,879","33,579","33,340","32,987","33,287","33,531","32,444","28,952","27,799","29,636","30,217","30,629","32,475","35,153","37,108","35,420","36,237","37,045","37,907","38,322","38,946","38,490","38,418","38,118","36,392","35,223","35,294","34,569","33,046","31,759","30,141","29,796","29,239","27,834","27,464","27,532","27,733","28,721","30,570","22,233","20,894","19,754","17,067","15,345","13,718","13,665","12,776","11,874","10,641","8,949","8,003","6,504","23,914"
E06000047,County Durham,Unitary Authority," 532,182 ","4,410","4,736","4,805","4,964","5,084","5,199","5,352","5,647","5,654","5,812","5,989","6,022","6,116","6,127","5,857","6,111","5,958","5,786","6,108","8,276","10,046","8,641","6,859","5,885","5,651","5,661","5,945","5,774","5,796","5,829","6,059","6,279","6,446","6,289","6,309","6,470","6,377","6,425","6,277","6,177","6,294","6,229","6,287","6,226","6,254","5,606","5,379","5,697","5,846","6,050","6,739","7,147","7,629","7,203","7,615","7,778","7,989","8,024","8,174","8,038","7,824","7,855","7,376","7,009","7,206","6,904","6,656","6,415","6,228","6,045","6,029","5,697","5,724","5,658","5,797","5,838","6,305","4,656","4,488","4,316","3,583","3,180","2,922","2,790","2,542","2,361","2,164","1,825","1,596","1,284","4,497"
E06000005,Darlington,Unitary Authority," 110,562 ","1,010","1,115","1,102","1,157","1,168","1,210","1,152","1,244","1,257","1,273","1,351","1,341","1,335","1,361","1,385","1,380","1,298","1,272","1,249",951,851,904,"1,008","1,176","1,261","1,293","1,295","1,342","1,320","1,375","1,406","1,423","1,559","1,464","1,404","1,501","1,404","1,447","1,353","1,382","1,364","1,350","1,395","1,419","1,425","1,326","1,225","1,305","1,331","1,368","1,406","1,526","1,604","1,559","1,552","1,568","1,561","1,633","1,628","1,511","1,602","1,545","1,531","1,412","1,423","1,385","1,292","1,294","1,190","1,164","1,185","1,130","1,115","1,083","1,165","1,165","1,274",953,902,796,687,633,592,613,554,503,448,377,354,277,"1,083"
E06000001,Hartlepool,Unitary Authority," 95,366 ",915,960,981,"1,066","1,081","1,069","1,152","1,155","1,105","1,183","1,187","1,193","1,247","1,245","1,241","1,275","1,151","1,211","1,145","1,021",848,924,"1,079","1,108","1,190","1,077","1,214","1,066","1,159","1,178","1,155","1,219","1,269","1,188","1,224","1,253","1,229","1,218","1,193","1,120","1,081","1,129","1,114","1,117","1,076",977,965,"1,015",992,"1,031","1,169","1,232","1,325","1,283","1,300","1,358","1,441","1,422","1,455","1,392","1,449","1,419","1,415","1,273","1,335","1,159","1,204","1,092","1,071",957,"1,014",996,917,"1,007",974,973,"1,014",736,655,609,504,500,442,465,407,429,382,266,300,206,828
E06000002,Middlesbrough,Unitary Authority," 152,650 ","1,824","1,798","1,766","1,830","1,889","1,940","2,081","1,927","2,019","1,982","2,110","2,064","2,119","1,991","1,814","1,884","1,890","1,863","1,826","1,873","1,703","1,796","1,974","2,073","2,213","2,596","2,660","2,523","2,517","2,549","2,542","2,553","2,304","2,389","2,345","2,378","2,321","2,246","2,121","2,041","1,955","1,853","1,855","1,778","1,728","1,478","1,453","1,540","1,549","1,511","1,588","1,636","1,720","1,686","1,634","1,787","1,747","1,831","1,876","1,844","1,833","1,909","1,753","1,717","1,681","1,696","1,651","1,516","1,463","1,358","1,384","1,254","1,236","1,207","1,175","1,195","1,311",928,882,787,735,722,580,574,557,520,457,424,341,301,"1,120"
E06000057,Northumberland,Unitary Authority," 327,055 ","2,549","2,664","2,813","2,772","2,976","3,156","3,223","3,328","3,339","3,460","3,562","3,670","3,707","3,565","3,498","3,677","3,395","3,458","3,249","2,560","2,475","2,435","2,746","2,919","3,117","3,207","3,164","3,076","3,268","3,264","3,342","3,606","3,589","3,552","3,546","3,716","3,724","3,633","3,759","3,595","3,607","3,660","3,648","3,916","3,777","3,323","3,377","3,581","3,767","3,851","4,077","4,518","4,744","4,480","4,696","4,881","4,994","5,073","5,366","5,376","5,273","5,339","5,103","5,188","5,087","4,954","4,825","4,754","4,502","4,531","4,435","4,259","4,240","4,234","4,305","4,701","4,843","3,502","3,348","3,175","2,764","2,339","2,055","2,004","1,873","1,706","1,586","1,358","1,203",951,"3,552"
E06000003,Redcar and Cleveland,Unitary Authority," 137,938 ","1,259","1,359","1,226","1,367","1,416","1,419","1,535","1,488","1,566","1,564","1,691","1,740","1,718","1,618","1,544","1,675","1,629","1,627","1,469","1,270","1,072","1,174","1,211","1,435","1,491","1,426","1,399","1,483","1,482","1,550","1,526","1,698","1,683","1,580","1,604","1,628","1,581","1,573","1,678","1,501","1,493","1,575","1,579","1,567","1,458","1,384","1,320","1,472","1,447","1,561","1,665","1,832","1,973","1,908","1,974","1,969","2,201","2,262","2,163","2,121","2,146","2,131","2,002","1,959","1,955","1,969","1,773","1,778","1,631","1,719","1,672","1,583","1,575","1,577","1,659","1,645","1,838","1,410","1,270","1,234","1,000",992,851,854,828,685,637,546,456,370,"1,314"
E06000004,Stockton-on-Tees,Unitary Authority," 202,415 ","1,924","2,078","2,032","2,203","2,266","2,282","2,451","2,542","2,465","2,470","2,731","2,667","2,815","2,654","2,674","2,705","2,562","2,566","2,413","1,894","1,495","1,554","1,799","2,165","2,206","2,164","2,546","2,357","2,428","2,634","2,684","2,798","2,751","2,710","2,751","2,894","2,752","2,966","2,906","2,805","2,681","2,574","2,734","2,647","2,553","2,298","2,173","2,295","2,358","2,424","2,355","2,686","2,763","2,785","2,722","2,780","2,833","2,826","2,751","2,740","2,820","2,801","2,618","2,574","2,550","2,463","2,461","2,293","2,093","2,157","2,039","2,012","1,965","1,909","1,930","2,007","2,086","1,492","1,398","1,328","1,155","1,133",993,941,885,819,693,568,535,390,"1,570"
