URN,UKPRN,TypeOfEstablishment (name)
100000,10079319,Voluntary aided school
100001,10013279,Other independent school
100002,10018890,Other independent school
100003,10008165,Other independent school
100004,,Local authority nursery school
100005,,Local authority nursery school
100006,10016665,Pupil referral unit
100007,10077053,Pupil referral unit
100008,10078065,Community school
100009,10077183,Community school
100010,10073852,Community school
100011,10078064,Community school
100012,10078063,Community school
100013,10078062,Community school
100014,10078061,Community school
100015,10075421,Community school
100016,,Community school
100017,,Community school
100018,10069172,Community school
100019,10078060,Community school
100020,10073851,Community school
100021,10077182,Community school
100022,10078059,Community school
100023,10077181,Community school
100024,,Community school
100025,10078058,Community school
100026,10079731,Community school
100027,10078057,Community school
100028,10074742,Voluntary aided school
100029,10079318,Voluntary aided school
100030,10079317,Voluntary aided school
100031,10074741,Voluntary aided school
100032,10074740,Voluntary aided school
100033,10074739,Voluntary aided school
100034,10069857,Voluntary aided school
100035,10076020,Voluntary aided school
100036,10079316,Voluntary aided school
100037,10076019,Voluntary aided school
100038,,Voluntary aided school
100039,10076018,Voluntary aided school
100040,10079315,Voluntary aided school
100041,10076017,Voluntary aided school
100042,10079314,Voluntary aided school
100043,10079313,Voluntary aided school
100044,10046787,Voluntary aided school
100045,10076016,Voluntary aided school
100046,10074738,Voluntary aided school
100047,10076015,Voluntary aided school
100048,10076014,Voluntary aided school
100049,10002938,Community school
100050,10004992,Community school
100051,10005970,Community school
100052,10002876,Community school
100053,10000101,Community school
100054,10000001,Voluntary aided school
100055,10004201,Voluntary aided school
100056,10007511,Voluntary aided school
100057,,Voluntary aided school
100059,10003733,Voluntary aided school
100060,10015430,Foundation special school
100061,10075167,Other independent school
100062,10017630,Other independent school
100063,10075166,Other independent school
100064,10018605,Other independent school
100065,10016008,Other independent school
100066,10075165,Other independent school
100067,10079908,Other independent school
100068,10070531,Other independent school
100069,10070530,Other independent school
100070,10018478,Other independent school
100071,10070529,Other independent school
100072,10018763,Other independent school
100073,10070528,Other independent school
100074,10007975,Other independent school
100075,10032215,Other independent school
100076,10008499,Other independent school
100077,10075164,Other independent school
100078,10070527,Other independent school
100079,,Other independent school
100080,10018772,Other independent school
100081,10070526,Other independent school
100082,10035396,Other independent school
100083,,Other independent school
100084,10010605,Other independent school
100085,,Other independent school
100086,10070525,Other independent school
100087,10070524,Other independent school
100088,10070523,Other independent school
100089,,Other independent school
100090,10017663,Other independent school
100091,10077052,Community special school
100092,10015123,Community special school
100093,10016043,Community special school
100094,10017496,Community special school
100095,,Community special school
100096,10017655,Community special school
100097,,Local authority nursery school
100098,,Local authority nursery school
100099,,Local authority nursery school
100100,,Local authority nursery school
100101,,Local authority nursery school
100102,,Local authority nursery school
100103,10016844,Pupil referral unit
100104,,Pupil referral unit
100105,,Pupil referral unit
100106,,Pupil referral unit
100107,,Pupil referral unit
100108,,Pupil referral unit
100109,,Community school
100110,,Community school
100111,,Community school
100112,,Community school
100113,10078056,Community school
100114,10078055,Community school
100115,10078054,Community school
100116,,Community school
100117,,Community school
100118,,Community school
100119,,Community school
100120,10077180,Community school
100121,,Community school
100122,,Community school
100123,,Community school
100124,,Community school
100125,10078053,Community school
100126,10078052,Community school
100127,10078051,Community school
100128,,Community school
100129,10078050,Community school
100130,,Community school
100131,10078049,Community school
100132,,Community school
100133,,Community school
100134,10078048,Community school
100135,,Community school
100136,10078047,Community school
100137,10077179,Community school
100138,,Community school
100139,,Community school
100140,10078046,Community school
100141,10078045,Community school
100142,10077178,Community school
100143,,Community school
100144,,Community school
100145,,Community school
100146,10078044,Community school
100147,,Community school
100148,,Community school
100149,10078043,Community school
100150,10078042,Community school
100151,,Community school
100152,10078041,Community school
100153,,Community school
100154,10081231,Community school
100155,10078040,Community school
100156,,Community school
100157,,Community school
100158,10078039,Community school
100159,10078038,Community school
100160,,Community school
100161,,Community school
100162,10078037,Community school
100163,10069171,Community school
100164,10078036,Community school
100165,10074737,Voluntary aided school
100166,10076255,Voluntary aided school
100167,10079312,Voluntary aided school
100168,10076013,Voluntary aided school
100169,10076012,Voluntary aided school
100170,10069856,Voluntary aided school
100171,10068732,Voluntary aided school
100172,,Voluntary aided school
100173,10076011,Voluntary aided school
100174,10079311,Voluntary aided school
100175,10076010,Voluntary aided school
100176,10076009,Voluntary aided school
100177,10076008,Voluntary aided school
100178,10076007,Voluntary aided school
100179,10076006,Voluntary aided school
100180,10076005,Voluntary aided school
100181,10079310,Voluntary aided school
100182,10015766,Community school
100183,10005125,Community school
100184,,Community school
100185,10003600,Community school
100186,10014881,Community school
100187,10013305,Community school
100188,10015721,Foundation school
100189,10001773,Community school
100190,10006893,Community school
100191,,Community school
100192,10006718,Voluntary controlled school
100193,10017241,Voluntary aided school
100194,,Voluntary aided school
100195,10000753,Voluntary aided school
100196,10013306,Voluntary aided school
100197,10069600,Foundation school
100198,10079116,Other independent school
100199,10079115,Other independent school
100200,10017042,Other independent school
100201,10079114,Other independent school
100202,10008171,Other independent school
100203,10079113,Other independent school
100204,10016539,Community special school
100205,,Community special school
100206,,Community special school
100207,,Community special school
100208,,Community special school
100209,,Community special school
100210,,Community special school
100211,,Community special school
100212,,Local authority nursery school
100213,,Local authority nursery school
100214,,Pupil referral unit
100215,10016573,Pupil referral unit
100216,,Community school
100217,,Community school
100218,10078035,Community school
100219,,Community school
100220,,Community school
100221,10078034,Community school
100222,,Community school
100223,10078033,Community school
100224,10078032,Community school
100225,10073850,Community school
100226,,Community school
100227,,Community school
100228,,Community school
100229,10078031,Community school
100230,10078030,Community school
100231,10077177,Community school
100232,10073849,Community school
100233,,Community school
100234,10078029,Community school
100235,10078028,Community school
100236,10078027,Community school
100237,,Community school
100238,,Community school
100239,10078026,Community school
100240,10078025,Community school
100241,10073848,Community school
100242,10078014,Community school
100243,10077176,Community school
100244,10077175,Community school
100245,10077174,Community school
100246,,Community school
100247,,Community school
100248,10070050,Community school
100249,,Community school
100250,10078024,Community school
100251,10077173,Community school
100252,10078023,Community school
100253,10077172,Community school
100254,10078022,Community school
100255,10078021,Community school
100256,10078020,Community school
100257,10078019,Community school
100258,10078018,Community school
100259,10078017,Community school
100260,10078016,Community school
100261,10078015,Community school
100262,,Voluntary aided school
100263,10079309,Voluntary aided school
100264,10076004,Voluntary aided school
100265,,Voluntary aided school
100266,10079308,Voluntary aided school
100267,10076254,Voluntary aided school
100268,10076003,Voluntary aided school
100269,10079307,Voluntary aided school
100270,10079306,Voluntary aided school
100271,10079305,Voluntary aided school
100272,,Voluntary aided school
100273,,Voluntary aided school
100274,10076002,Voluntary aided school
100275,10078092,Voluntary aided school
100276,,Community school
100277,10015845,Community school
100278,10015169,Community school
100279,10010031,Community school
100280,10015930,Community school
100281,,Community school
100282,10004917,Voluntary aided school
100283,10005905,Voluntary aided school
100284,10015917,Voluntary aided school
100285,10001166,Voluntary aided school
100286,,Voluntary aided school
100287,10015156,Other independent school
100288,,Other independent school
100289,10070522,Other independent school
100290,,Other independent school
100291,10017295,Other independent school
100292,,Other independent school
100293,10014855,Other independent school
100294,10070521,Other independent school
100295,10014970,Other independent school
100296,10018486,Other independent school
100297,,Other independent school
100298,10018650,Other independent school
100299,10018567,Other independent school
100300,10006513,Other independent school
100301,10016927,Other independent school
100302,,Other independent school
100303,10039165,Other independent school
100304,,Other independent school
100305,,Other independent school
100306,,Other independent school
100307,10017600,Community special school
100308,,Community special school
100309,,Community special school
100310,,Community special school
100311,10016092,Community special school
100312,10015972,Community special school
100313,,Local authority nursery school
100314,,Local authority nursery school
100315,,Local authority nursery school
100316,,Local authority nursery school
100317,,Local authority nursery school
100318,,Local authority nursery school
100319,,Pupil referral unit
100320,10017137,Pupil referral unit
100321,10078013,Community school
100322,10078012,Community school
100323,,Community school
100324,10065239,Community school
100325,,Foundation school
100326,10072928,Community school
100327,,Community school
100328,10072927,Community school
100329,,Community school
100330,,Community school
100331,10078011,Community school
100332,,Community school
100333,,Community school
100334,10070049,Community school
100335,10078010,Community school
100336,,Community school
100337,,Community school
100338,10078009,Community school
100339,,Community school
100340,10078008,Community school
100341,10078007,Community school
100342,,Community school
100343,,Community school
100344,10079304,Voluntary aided school
